Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,Coordinates for Mapping
Harvard Square,33 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Real Estate Investment Trust (REIT),Flat Patties,,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charlotte, NC 28203",,POINT (-71.12069302799995 42.373628981000024)
Porter Sq-Lower Massachusetts Ave.,1906-1908 Massachusetts Avenue,Cambridge,Massachusetts,02140,1550,2 years or more,Trust,Rod Dee and Wok n' Roll,,Actively leasing,"PKH Properties, LLC, P.O. Box 621 Brookline, MA 02446","PadMatch Realty, Peter Grossi, (617) 435-9457",POINT (-71.12001400999998 42.388853995000034)
Harvard Square,84 Winthrop Street,Cambridge,Massachusetts,02138,,1-2 years,Trust,Tom's Bao Bao,,Unknown,"Crimsoan Galeria Limited Partnership, c/o Raj Dhanda, 1299 Beacon Street, Brookline, MA 02446",,POINT (-71.12089201399993 42.37212698600007)
Harvard Square,76A Mt. Auburn Street,Cambridge,Massachusetts,02138,,2 years or more,Nonprofit Corporation,Schoenhof's Foreign Books,,Actively leasing,"76 Mount Auburn Street, Inc. c/o Rick Childs, SRB Corp., 76 Mt. Auburn St., Cambridge, MA 02138","IRB, (617) 497-3300",POINT (-71.11868456999997 42.37192460800003)
North Massachusetts Ave.,2094 Massachusetts Avenue,Cambridge,Massachusetts,02140,2000,6-10 months,Trust,Redemption Tattoo,,Actively leasing,"Joseph A, Francis X., Anthony J., Marian L., and Maria C. Colannino c/o Riverside Management P.O. Box 440317 W. Somerville, MA 02144",(617) 428-9993,POINT (-71.12360003899994 42.39131299400003)
East Cambridge,121 First Street,Cambridge,Massachusetts,02141,7000,2 years or more,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"Urban Spaces, LLC, 111 First Street, Cambridge, MA 02141","Adam Conviser, Conviser Property Group, 781-320-0600",POINT (-71.07811396499994 42.36683398100007)
Fresh Pond-Alewife,93 Blanchard Rd,Cambridge,Massachusetts,02138,,6-10 months,Trust,Knittin Kitten,,Unknown,"Hillside Garden Supply Co., 280 Blanchard Rd., Belmont, MA 02478",,POINT (-71.15799199399999 42.39425399500004)
Harvard Square,43 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Goorin Bros. Hat Shop,,Unknown,"John P. Digiovanni, trustee of 45 Brattle Street Realty Trust, P.O. Bon 380212, Cambridge, MA 02238",(617) 902-9346,POINT (-71.12069302799995 42.373628981000024)
Porter Sq-Lower Massachusetts Ave.,1699 Massachusetts Avenue,Cambridge,Massachusetts,02138,1324,1-2 years,Trust,New Space,,Actively leasing,"Lotus Harvard Enterprise, LLC, 1712 Massachusetts Ave., Cambridge, MA 02138","Compass, Shannah Hall Frackum, (617) 686-9996",POINT (-71.11923398999994 42.38307400300005)
East Cambridge,1055 Cambridge Street,Cambridge,Massachusetts,02139,,2 years or more,Trust,University Monument,,Under redevelopment,"418 Real Estate LLC 250 Dorchester Ave. #2 Boston, MA 02127",,POINT (-71.09474299099998 42.37317799200008)
Harvard Square,12 Bow Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Cafe Pamplona,,Unknown,"Eliodora Yanguas Perez c/o The Eliodora Yanguas Perez Trust, 12 Bow St., Cambridge, MA 02138",,POINT (-71.11547202399998 42.37175101500003)
Central Square,580 Massachusetts Avenue,Cambridge,Massachusetts,02139,,2 years or more,Trust,Harvest Coop,,Leased pending occupancy,"George and Ethel Rothman, c/o First Cambridge Realty 907 Massachusetts Ave., Cambridge, MA 02139","Godino & Co., Tim Coyle, 617-965-4200",POINT (-71.10307401599994 42.36452698800009)
Harvard Square,26 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Dickson Bros. Hardware Co.,,For sale,"Edward P. Verplanck Tr. c/o Brattle Street Trust, 26 Brattle St., Cambridge, MA 02138",,POINT (-71.12040997099997 42.37312200100007)
Kendall Square,500 Kendall Street,Cambridge,Massachusetts,02142,,6-10 months,Foreign Limited Liability Company (LLC),Unknown,,Under redevelopment,"BMR-500 Kendall Street LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 92018","Biomed Realty, Colleen O’Connor, (858) 386-8737, Colleen.OConnor@biomedrealty.com",POINT (-71.09089301499995 42.36665599200007)
Central Square,571-577 Massachusetts Ave,Cambridge,Massachusetts,02139,,6-10 months,Trust,Libby's Liquors/Dosa Factory/Shalimar,,Actively leasing,"James D. Hill, Trustee, The James D. Hill Rev. Trust, 15831 White Orchid Ln., FT. Myers, FL 33908",Call Lena at 617-875-9080,POINT (-71.10242299299995 42.365002996000044)
Inman Square,192 Hampshire Street,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Chan Mock Architects,,Actively leasing,"Riggins Holdings LLC, 40 Richardson Dr., Needham, MA 02492","Red Tree Boston, (617) 487-8015",POINT (-71.09994899099996 42.37277700200008)
Smaller Districts,808 Memorial Drive,Cambridge,Massachusetts,02139,,1-2 years,Association,Lapel's Dry Cleaning,,Unknown,"808 Memorial Drive Association, 280 Franklin Street, Cambridge, MA 02139",,POINT (-71.11515996599996 42.36064298200006)
Inman Square,1248 Cambridge Street,Cambridge,Massachusetts,02139,,6-10 months,Trust,Wit’s End,,Unknown,"Onaly A. Kapasi & Chander M. Kapasi, Trs., Ony’s Comet Trust, 356 Parker Street, Newton, MA 02459",,POINT (-71.09844896499999 42.37327798800004)
Central Square,114 Bishop Allen Drive,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Training space,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",POINT (-71.10294602299996 42.36612985000005)
Fresh Pond-Alewife,88 CambridgePark Drive,Cambridge,Massachusetts,02138,1875,1-2 years,Real Estate Investment Trust (REIT),New Space,,Leased pending occupancy,"88 Cambridge Park Limited Partnership, 5847 San Felipe, Suite 3600, Houston, TX 77057","The Dartmouth Company, (617) 262-6620",POINT (-71.14289903599996 42.39306900300005)
Central Square,675 Massachusetts Avenue,Cambridge,Massachusetts,02139,1780,2 years or more,Real Estate Investment Trust (REIT),T-Mobile/CCTV,,Unknown,"U.S. REIF Central Plaza Massachusetts LLC c/o Intercontinental Mgmt. Corporation 1270 Soldiers Field Rd. Boston, MA 02135","Boston Urban Partners, Patrick Conly, 617-274-4900",POINT (-71.10375697299997 42.366106013000035)
Observatory Hill,290 Concord Avenue,Cambridge,Massachusetts,02138,1500,6-10 months,Domestic Limited Liability Company (LLC),Syd & Sam,,Actively leasing,"Concord-Walden LLC, 294 Concord Ave, Cambridge, MA 02138","concord.walden.llc@gmail.com, (617) 547-8835",POINT (-71.13403701699997 42.383643008000035)
Smaller Districts,750 Memorial Drive,Cambridge,Massachusetts,02139,,1-2 years,Real Estate Investment Trust (REIT),Nadeau Furniture,,Actively leasing,"New Creek LLC, c/o KIMCO Realty Corp., 333 New Hyde Park Rd., Suite 100, New Hyde Park, NY 11042","Leasing Contact: KIMCO Realty, Amy Daniels, (516) 697-9046",POINT (-71.11504203199996 42.35813000300004)
North Massachusetts Ave.,2226 Massachusetts Ave,Cambridge,Massachusetts,02140,,6-10 months,Trust,Fun Antiques,,Unknown,"Tavian Realty LLC, 4 Richfield Rd., Arlington, MA 02474",,POINT (-71.12643597199997 42.393735993000064)
Central Square,20 Sidney Street,Cambridge,Massachusetts,02139,2300,1-2 years,Real Estate Investment Trust (REIT),Unknown,,Actively leasing,"MIT 238 Main Street, Suite 200 Cambridge, MA 02142",Contact 617-551-0307 (no food use),POINT (-71.09965897699993 42.36164998400005)
Kendall Square,295 Third Street,Cambridge,Massachusetts,02142,,6-10 months,Real Estate Investment Trust (REIT),Barismo,,Actively leasing,"303 Third SPE LCC, P.O. Box 87407, Chicago, IL 60680","Cushman & Wakefield, (617) 204-4142",POINT (-71.08389404199994 42.36429501900005)
Harvard Square,25 Brattle Street,Cambridge,Massachusetts,02138,4000,2 years or more,Real Estate Investment Trust (REIT),Lululemon,,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charolette, NC 28203","CBRE New England, (617) 912-6861",POINT (-71.12069302799995 42.373628981000024)
Harvard Square,36 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Partnership (LP),The Hempest,,Unknown,"Trinity Realty Limited Partnership, P.O. Box 380212, Cambridge, MA 02138",(617) 354-0835,POINT (-71.11961695899998 42.37254201500008)
Smaller Districts,123 River Street,Cambridge,Massachusetts,02139,900,2 years or more,Individual,River Gods,,Leased pending occupancy,"Arthur N. Dobelis 263 Hicks St. #4 Brooklyn, NY 11201","Arthur Dobelis, (646) 722-0824",POINT (-71.10871503599999 42.364036018000036)
Harvard Square,41 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Real Estate Investment Trust (REIT),,,Actively leasing,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charlotte, NC 28203","CBRE, (617) 912-6861",POINT (-71.12091598599994 42.37382599700004)
Porter Sq-Lower Massachusetts Ave.,4 Hudson Street,Cambridge,Massachusetts,02138,2500,2 years or more,Trust,Rite-Way Dry Cleaners,,Actively leasing,"Nathaniel H. and ISA H. Swartz, c/o SWARTZ 1995 REVOC. Trust, 205 W. Vinegar Valley Rd. Friendsville, TN.","Roy Papalia, (617) 306-7797",POINT (-71.12010101399994 42.382096002000026)
Smaller Districts,121 Hampshire Street,Cambridge,Massachusetts,02139,2908,2 years or more,Trust,Poor Little Rich Girl,,Unknown,"Leonidas Perez & City of Cambridge Tax Title 230 Prospect Street Cambridge, MA 02139",,POINT (-71.09623002399996 42.37026201200007)
Harvard Square,1033 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,University,Basics Furniture,,Actively leasing,"Harvard University, Harvard Realty, Smith Campus Center, 1350 Massachusetts Ave., Cambridge, MA 02138",Leasing contact: 617.912.6879.,POINT (-71.11208498099995 42.36987401400006)
Kendall Square,50 Hampshire Street,Cambridge,Massachusetts,02139,,6-10 months,Foreign Limited Liability Company (LLC),The Automatic,,Actively leasing,"BMR-Hampshire LLC P.O. Box 847, Carlsbad, CA 92018","Boston Restaurant Group, (978) 887-9895",POINT (-71.09276402299997 42.366821995000066)
Smaller Districts,156 Rindge Avenue,Cambridge,Massachusetts,02140,,1-2 years,Individual,NOCA Provisions,,Actively leasing,"Susan H. Sullivan, 29 Banks St., Somerville, MA 02144","Robert Harris, info@nocaprovisions.com",POINT (-71.13083797999997 42.393261996000035)
Porter Sq-Lower Massachusetts Ave.,822 Somerville Avenue,Cambridge,Massachusetts,02138,2308,1-2 years,Real Estate Investment Trust (REIT),Sprint,,Actively leasing,"CPUS Porter Square, LP, P.O. Box 638, Addison, T.X. 75001","CBRE, (617) 912-6863",POINT (-71.11840501899997 42.38853099900007)
East Cambridge,149 Cambridge Street,Cambridge,Massachusetts,02141,,6-10 months,,Law Offices,,Actively leasing,"Anthony Gargano, trustee of Gargano Family Trust, 149 Cambridge St., Cambridge, MA 02140",(617) 876-6780,POINT (-71.07825897199996 42.37099098600004)
Central Square,645 Massachusetts Ave.,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",POINT (-71.10358103699997 42.36568201400007)
Central Square,596 Massachusetts Avenue,Cambridge,Massachusetts,02139,,2 years or more,Real Estate Investment Trust (REIT),Mattress Firm,,Under redevelopment,"CIFRINO-Massachusetts Avenue Realty. c/o Superior Realty Co., Inc. 540 Gallivan Boulevard Dorchester, MA. 02124.","Atlantic Retail, 617-239-3636",POINT (-71.10338003899994 42.364669983000056)
Kendall Square,205 Broadway,Cambridge,Massachusetts,02139,,1-2 years,Real Estate Investment Trust (REIT),Tatte,,Leased pending occupancy,"BMR-Hampshire LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 92018",,POINT (-71.09286301399999 42.36634799900003)
Harvard Square,20 University Road,Cambridge,Massachusetts,02138,,6-10 months,,Legal Sea Foods,,Unknown,"Richard L. Friedman, John L. Hall III, 20 University Rd., Cambridge MA 02138",,POINT (-71.12364999499994 42.372291019000045)
Harvard Square,30 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Lush,,Unknown,"Waugh Building LLC c/o Rockmont Management Co., Inc, P.O. Box 440433, Somerville, MA 02145","(617) 776-764, info@rockmontmanagement.com",POINT (-71.11965802999998 42.37272398700003)
Central Square,684 Massachusetts Avenue,Cambridge,Massachusetts,02139,3000,1-2 years,Trust,Au Bon Pain,,Leased pending occupancy,"Center Property Limited Partnership, c/o Riverside Management, P.O. Box #440317, West Somerville, MA 02144","Michael Simon, (617) 714-3650",POINT (-71.10477202199996 42.365743999000074)
East Cambridge,357 Cambridge Street,Cambridge,Massachusetts,02141,,1-2 years,Trust,Legatt McCall,,Leased pending occupancy,"East Cambridge, LLC c/o Rob Hajier, 109 Ostrom Rd., East Falmouth, MA 02536",,POINT (-71.08199503799995 42.37150299500007)
Fresh Pond-Alewife,211 Alewife Brook Parkway,Cambridge,Massachusetts,02138,3391,2 years or more,Real Estate Investment Trust (REIT),Mattress Firm,,Leased pending occupancy,"Linear Retail - Cambridge #1 LLC, c/o Keypoint Partners, 1 Burlington Woods Drive, Burlington, MA 01803","Linaer Retail, (781) 202-3535",POINT (-71.14361300699994 42.390047997000075)
Harvard Square,33 Church Street,Cambridge,Massachusetts,02138,1366,1-2 years,Trust,Starbucks,,Leased pending occupancy,"Janet A. Cahaly of JAC Cambridge Nominee Trust P.O. Box 590-104 Newton Center, MA 02459","Williamson Partners, Chris Williamson, (617) 680-1108",POINT (-71.12018801799996 42.37452198900007)
Harvard Square,1-23 JFK Street,Cambridge,Massachusetts,02138,,2 years or more,Real Estate Investment Trust (REIT),Variety of businesses,,Under redevelopment,"Harvard Collection, LLC c/o Equity One, Inc. 410 Park Ave. Suite 1220, New York, NY 10022","Regency Centers Senior Leasing Agent: Davis Sherin, (610) 747-1212",POINT (-71.11895001099998 42.373579988000074)
Porter Sq-Lower Massachusetts Ave.,1691 Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Utso Boutique,,Unknown,"1685 Mass Ave LLC, 626 Main St. Acton MA 01720","George F Harpell, Diane Poulos Harpell, (617) 547-7031",POINT (-71.11935301299997 42.382802010000034)
Harvard Square,1100 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,Real Estate Investment Trust (REIT),Au Bon Pain,,Actively leasing,"Sun Like Assurance Co. of Canada c/o Bentall Kennedy LP, One Federal Street, 25th floor, Boston, MA 02110","Leasing: Avison Young, (617) 366-1001",POINT (-71.11374903999996 42.37040299600005)
Harvard Square,One Brattle Square,Cambridge,Massachusetts,02138,2746,1-2 years,Real Estate Investment Trust (REIT),Chipotle,,Leased pending occupancy,"WELLS REIT One Brattle Square, I, LLC, c/o Thompson Property Tax Services, P.O. Box 56607, Atlanta, GA 3034","Atlantic Retail, James Bagley, 617-239-3642.",POINT (-71.12128504099996 42.37330502000003)
Harvard Square,104 Mt. Auburn Street,Cambridge,Massachusetts,02138,1378,2 years or more,Real Estate Investment Trust (REIT),Hair Cuttery,,Unknown,"Eliot Square Enterprises, Inc. 1270 Soldiers Field Rd. Brighton, MA 02135","Vantage Point Retail, Martin Benoit, (617) 877-5257",POINT (-71.12098002399995 42.37262700800005)
Porter Sq-Lower Massachusetts Ave.,1776 Massachusetts Avenue,Cambridge,Massachusetts,02138,1799,1-2 years,Condo,Muckykids Art Studios,,For sale,"Becs, LLC, 3 Lancaster Terrace, Cambridge, MA 02140","Barrett Sotheby's Realty, info@barrettsir.com",POINT (-71.11961695899998 42.38572100800008)
Harvard Square,1208 Massachusetts Ave,Cambridge,Massachusetts,02138,,1-2 years,Trust,Psychic reader,,Actively leasing,"Cambridge Real Estate Company, LLC P.O. 400575 Cambridge, MA 02140","Shannah Hall, (617) 686-9996, shannah@compass.com",POINT (-71.11541402099995 42.371853987000065)
Porter Sq-Lower Massachusetts Ave.,23 White St,Cambridge,Massachusetts,02140,315,6-10 months,Real Estate Investment Trust (REIT),Emack & Bolio's,,Actively leasing,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",POINT (-71.11862403899994 42.38974101000008)
Harvard Square,30 Brattle Street,Cambridge,Massachusetts,02138,,1-2 years,Trust,Leather World,,Pop Up,"Liilian H. Hadley, Harry L. Sampson, c/o Thomas Hadley Trust 59 Hunter Lane, Lancaster, MA 01523","Regency Centers. David Sherin, (610) 747-1212",POINT (-71.12062102699997 42.373055994000026)
Smaller Districts,86 Kirkland Street,Cambridge,Massachusetts,02138,3011,2 years or more,Retail Condo,Kirkland Cleaners,,Actively leasing,"Pookadoodle, LLC. c/o Patricia, Birchem, 6 Cowdy Lane, Wakefield, MA 01880","Patricia Birchem
781-789-2937
patricia@parismanagement.com",POINT (-71.10787500199996 42.37782098000008)
North Massachusetts Ave.,2370 Massachusetts Avenue,Cambridge,Massachusetts,02140,,6-10 months,Domestic Limited Liability Company (LLC),Dudley Dry Cleaners,,Actively leasing,"James H. Batmasian, c/o Investments, Limited, 215 North Federal Highway, Boca Raton, FL 33432",(617) 547-0026,POINT (-71.12951776199998 42.39667435200005)
Harvard Square,8 Holyoke Street,Cambridge,Massachusetts,02138,,2 years or more,University,En Boca,,Leased pending occupancy,"Harvard University, Harvard Realty, Smith Campus Center, 1350 Massachusetts Ave., Cambridge, MA 02138","Leasing Manager, Gabrielle Ritter, (617) 695-9595",POINT (-71.11796798699999 42.372693979000076)
Porter Sq-Lower Massachusetts Ave.,1741 Massachusetts Avenue,Cambridge,Massachusetts,02140,1469,2 years or more,Trust,Nomad,,Leased pending occupancy,"George Wyner Realty LLC c/o Myer Dana and Sons, Inc. 1340 Centre Street #101 Newton, MA 02459","Dan Bloom at Tactical Realty Group, dan@TactBoston.com",POINT (-71.11915503199998 42.38457298000003)
Inman Square,168 Hampshire Street,Cambridge,Massachusetts,02139,840,2 years or more,Real Estate Investment Trust (REIT),Lapel's Dry Cleaning,,Unknown,"Berkmar LLC c/o NCP Management Company, P.O. Box 590179, Newton Center, MA 02459","NCP Management, Inc. (617) 630-1868",POINT (-71.09891600499998 42.37185201700004)
East Cambridge,1-2 Canal Park,Cambridge,Massachusetts,02141,,1-2 years,Foreign Limited Liability Company (LLC),Haute Coffee,,Unknown,"One Canal Park Massachusetts, LLC C/O Intercontinental Realty Estate Investment, 1270 Soldiers Field Rd, Boston, MA 02135","Bay State REIT, LLC, (617) 782-2600",POINT (-71.07632501599994 42.37017601400004)
Inman Square,243 Hampshire Street,Cambridge,Massachusetts,02139,,6-10 months,Trust,Inman Oasis,,Actively leasing,"Eliot J. Winograd & Michael Judith Rosenberg, Tr., 77 Court Street #204, Newton, MA 02458","Boston Realty Advisors, (617) 375-3900",POINT (-71.10092900299998 42.37425498300007)
Central Square,20 Prospect Street,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),The Field,,Unknown,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459",,POINT (-71.10358103699997 42.36568201400007)
Observatory Hill,171 Huron Avenue,Cambridge,Massachusetts,02138,6000,1-2 years,Real Estate Investment Trust (REIT),Coldwell Banker,,Actively leasing,"RyeCroft LLC, PO Box 590179, Newtown Centre, MA 02459","Contact Alisa King, ABG Realty, (617) 492-9900",POINT (-71.13159302199995 42.38233999900007)
Porter Sq-Lower Massachusetts Ave.,1674 Massachusetts Avenue,Cambridge,Massachusetts,02138,2469,2 years or more,Trust,Evergood Market,,Leased pending occupancy,"Stone Investment Holding, LLC, 9 Shepard Street, Cambridge, MA 02138","Dartmouth Company,  Rachel Feeley, (617) 369-5908",POINT (-71.12005197999997 42.382307980000064)
Kendall Square,145 Broadway,Cambridge,Massachusetts,02142,,6-10 months,Trust,New Space,,Actively leasing,"David Barrett, Edward H. Linde & Mortimer B. Zuckerman, trs. of Eleven  c/o Marvin F. Poer & Co. 3520 Piedmont Rd. NE, Suite 410, Atlanta, GA 30305","Boston Properties, Sydney Rodenstein, srodenstein@bxp.com",POINT (-71.08877599799996 42.364935983000066)
Kendall Square,5 Broad Canal Way,Cambridge,Massachusetts,02142,3600,6-10 months,Foreign Limited Liability Company (LLC),Kikas Tapas,,Unknown,"Watermark II Member LLC, 801 Grand Avenue, Des Moines, IA 50392.","graffitosp.com, (617) 401-2871",POINT (-71.083045961 42.36361700700008)
Central Square,93 Windsor Street,Cambridge,Massachusetts,02139,,2 years or more,Trust,"Coffee Shop ""Brew on the Gird""""",,Leased pending occupancy,"Windsor Ninety Three LLC, 1495 Hancock Street, Quincy, MA 02169","District Real Estate Advisors. Contact: Christopher Mearn, 617-943-2272; Hana McLaren, 860-391-2017.",POINT (-71.09680803999998 42.36376901300008)
Smaller Districts,1001 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,Trust,O2 Yoga,,Actively leasing,"Richard Simon and William C Kaplan Trustees, 997 Mass Ave Nominee Trust, c/o Eastport Real Estate Services, 107 Audubon Rd. Suite 2-301, Wakefield, MA 01880","Compass, (617)-308-7736",POINT (-71.11130496099997 42.36958299400004)
East Cambridge,189 Cambridge Street,Cambridge,Massachusetts,02141,,6-10 months,Domestic Limited Liability Company (LLC),Unknown - office space,,Actively leasing,"189 Cambridge Street, LLC, c/o the Mount Vernon Company, 1200 Soldiers Field Rd., Boston, MA 02134","Boston Realty Advisors, (617) 375-7900",POINT (-71.07907402799998 42.371088007000026)
Fresh Pond-Alewife,359 Fresh Pond Parkway,Cambridge,Massachusetts,02138,,1-2 years,Real Estate Investment Trust (REIT),Vitamin Shoppe,,Actively leasing,"TGCI Fresh Pond LLC, 859 Willand St. #501, Quincy, MA 02169","Atlantic Retail, (617) 239-3646",POINT (-71.14083096899998 42.38614601200004)
Central Square,472 Massachusetts Avenue,Cambridge,Massachusetts,02139,,NA,Domestic Limited Liability Company (LLC),The Middle East Restaurant and Club,true,Business for sale,"Sater Realty LLC, Attn: Nabil Sater, 472 Massachusetts Ave., Cambridge, MA 02138",,POINT (-71.10152998499996 42.36361000800008)
Harvard Square,35 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Foreign Limited Liability Company (LLC),David’s Tea,,Unknown,"Mayhaw, LLC c/o NCP Management, P.O. Box 590179, Newton Center, MA 021459","(617) 945-0020, office@ncpmgmt.com",POINT (-71.12017401999998 42.37281698400005)
East Cambridge,11 First Street,Cambridge,Massachusetts,02141,1553,2 years or more,Real Estate Investment Trust (REIT),Finagle a Bagel,,Actively leasing,"Linear Retail Cambridge LLC c/o Linear Retail Properties LLC, Five Burlington Woods Dr., Burlington, MA 01803","Perseid Ventures, (857) 202-3940",POINT (-71.07723403299997 42.37044800600006)
East Cambridge,625 Cambridge Street,Cambridge,Massachusetts,02141,5742,6-10 months,Trust,Boston Bed Company,,Actively leasing,"Richard C. & Judith F. Silver, c/o Richard C. Silver Rev. Trust, 6876 Parisian Way, Lake Worth, FL 33467","ABG Commercial Advisors, (617) 850-2113",POINT (-71.08654096299995 42.37210800100007)
Harvard Square,33 Dunster Street,Cambridge,Massachusetts,02138,,1-2 years,Trust,John Harvard's,,Leased pending occupancy,"Trinity Realty Limited Partnership, P.O. Box 380212, Cambridge, MA 02138",,POINT (-71.11961695899998 42.37254201500008)
Harvard Square,1110 Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Unknown,,Actively leasing,"Gwen Marie LLC, 50 Bridge St., Lexington, MA 021421","Avison Young, (617) 250-7600, avisonyoung.com",POINT (-71.11385398099998 42.370567993000066)
Harvard Square,20-22 Eliot Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Wrapro,,Unknown,"Louis F. Di Giovanni, Trustee of Kennedy and Eliot Realty Trust, P.O. Box 380212, Cambridge, MA 02238",,POINT (-71.12111103299998 42.37187699500004)
