Hospital ID,Hospital Name,Legal Name,Alternate Name,Hospital Type,Institution Name,Street Address,City,State,Zip Code,Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
71794577,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,BLUE SLOPE COUNTRY MUSEUM,,GENERAL ACUTE CARE,,138 BLUE HILL ROAD,SAN LEANDRO,CA,6254,8603773740,37.7064062,-122.1646545,4,11,9,1,,,,
72590723,KINDRED HOSPITAL PARAMOUNT,BRANT FOUNDATION INC,,LONG TERM CARE,,80 FIELD POINT RD STE 3RD FL,PARAMOUNT,CA,6830,2038690611,33.88463186,-118.1622671,2,1,9,1,61470051,201312,2563305,
73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,BRISTOL SPORTS HALL OF FAME & MUSEUM,,PSYCHIATRIC,,255 DIVINITY ST,NORWALK,CA,6010,8605892938,33.92803135,-118.0679897,2,3,9,1,61496823,201406,0,0
196162274,PINCKNEYVILLE COMMUNITY HOSPITAL,BRUCE MUSEUM INC,BRUCE MUSEUM INC.,CRITICAL ACCESS,,MUSEUM DRIVE,PINCKNEYVILLE,IL,6830,2038690376,38.084846,-89.349108,2,1,9,1,237105904,201406,7278065,5467122
85531419,ST JOSEPH'S HOSPITAL - SAVANNAH,BRUCE MUSEUM INC,,GENERAL ACUTE CARE,,TODS PT,SAVANNAH,GA,6830,2038690376,31.98543032,-81.15455637,2,1,9,1,237105904,201406,7278065,5467122
86630165,KINDRED HOSPITAL ROME,BUDD RAIL DIESEL CAR FOUNDATION INC,,LONG TERM CARE,,40 TALL PINE RD,ROME,GA,6461,,34.25971345,-85.18023963,1,9,9,1,61442652,201310,20000,
87130286,UPSON REGIONAL MEDICAL CENTER,CANTON CLAY WORKS,,GENERAL ACUTE CARE,,150 CHERRY BROOK RD,THOMASTON,GA,6019,8606931000,32.8862977,-84.33650699,2,3,9,1,,,,
87531719,PHOEBE SUMTER MEDICAL CENTER,CAPT. ALAN L. BEAN HYPOSPHERIUM,,GENERAL ACUTE CARE,,324 MONTEVIDEO ROAD,AMERICUS,GA,6001,,32.06696234,-84.2560502,4,3,9,1,,,,
87931830,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,CENTER FOR CONTEMPORARY PRINTMAKING INC,,LONG TERM CARE,,299 WEST AVE,WARM SPRINGS,GA,6850,2038997999,32.88798074,-84.6923449,1,1,9,1,61400371,201312,791156,675644
90030265,SOUTHEASTERN REGIONAL MEDICAL CENTER,CHARLES IVES BIRTHPLACE MUSEUM,,GENERAL ACUTE CARE,,5 MOUNTAINVILLE AVE,NEWNAN,GA,6810,2037783540,33.38483465,-84.75774669,1,1,9,1,,,,
196500984,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,CHILDRENS MUSEUM INC,CHILDREN'S MUSEUM,GENERAL ACUTE CARE,,950 TROUT BROOK DR,CAROLINA,PR,6119,,18.380443,-65.95579,1,3,9,1,60896043,201406,2285324,1656405
2054311,BROWN CTY COMMUNITY TREATMENT CENTER,CHILDRENS MUSEUM OF SOUTHEASTERN CONNECTICUT INC,CHILDREN'S MUSEUM OF SOUTHEASTERN CONNECTICUT,PSYCHIATRIC,,409 MAIN ST,GREEN BAY,WI,6357,8606911111,44.52271226,-87.92482708,2,11,9,1,112113076,201309,287679,281389
151253226,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,CONFEDERATION OF UNION GENERALS INC,,GENERAL ACUTE CARE,,71 LONG HILL CROSS ROAD,WAUWATOSA,WI,6484,,43.03581215,-88.03726582,2,1,9,1,371658807,201312,0,0
196600956,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,CONNECTICUT ANTIQUE FIRE APPARATUS ASSOC INC,CONNECTCUT ANTIQUE FIRE APPARATUS A,PSYCHIATRIC,,PO BOX 297,BAYAMON,PR,6088,8606276540,18.36765566,-66.15439126,2,3,9,1,237295196,201412,0,0
159171301,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,CONNECTICUT AEROSPACE HALL OF FAME AND MUSEUM INC,,GENERAL ACUTE CARE,,PO BOX 1293,ALEXANDRIA,LA,6615,2033753332,31.25219156,-92.48198781,1,1,9,1,311604748,201406,17469,14133
163570394,OCSHNER ST. ANNE GENERAL HOSPITAL,CONNECTICUT AEROSPACE HALL OF FAME AND MUSEUM INC,,GENERAL ACUTE CARE,,550 MAIN ST,RACELAND,LA,6615,2033801400,29.70267142,-90.5652539,1,1,9,1,311604748,201406,17469,14133
164970748,FELICIANA FORENSIC FACILITY,CONNECTICUT ANTIQUE MACHINERY ASSOCIATION INC,,GENERAL ACUTE CARE,,PO BOX 1467,JACKSON,LA,6776,8609270050,30.83263569,-91.21066049,2,,9,1,61090238,201403,138992,136410
160970056,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,CONNECTICUT BOXING HALL OF FAME INC,,REHABILITATION,,123 CARRIAGE DR,GRETNA,LA,6001,,29.86597947,-90.03069185,2,3,9,1,542179245,201412,44936,13383
152354971,RIPON MEDICAL CENTER,CONNECTICUT CHILDRENS MUSEUM,CONNECTICUT CHILDREN'S MUSEUM,CRITICAL ACCESS,,22 WALL ST,RIPON,WI,6511,2035625437,43.83437609,-88.81775153,1,9,9,1,237346410,201308,799710,799710
13402908,VA MEDICAL CENTER - PROVIDENCE,CONNECTICUT EASTERN CHAPT NATIONAL RAILWAY HISTORICAL SOCIE,,GENERAL ACUTE CARE,,55 BRIDGE ST,PROVIDENCE,RI,6226,8604569999,41.83213908,-71.43314954,3,15,9,1,61330649,201312,65638,57692
15954660,TOMAH VA MEDICAL CENTER,CONNECTICUT ELECTRIC RAILWAY ASSOCIATION INCORPORATED,,MILITARY,,PO BOX 360,TOMAH,WI,6088,8606276540,44.00308068,-90.49331901,4,3,9,1,66070002,201412,408932,396558
5854452,ASCENSION GOOD SAMARITAN HLTH CTR,CONNECTICUT HUMANITIES COUNCIL,,GENERAL ACUTE CARE,,37 BROAD ST,MERRILL,WI,6457,8606853422,45.17563254,-89.68183128,1,7,9,1,60902244,201406,2861485,2861485
58796001,RESTPADD PSYCHIATRIC HEALTH FACILITY,CONNECTICUT RAILROAD HISTORICAL ASSOCIATION INCORPORATED,,PSYCHIATRIC,,PO BOX 255,REDDING,CA,6018,,40.58659539,-122.4119741,4,5,9,1,66085781,201409,34112,31295
59093436,THE CHAMPION CENTER,CONNECTICUT RIVER FOUNDATION AT STEAMBOAT DOCK INC,,REHABILITATION,,67 MAIN ST,LOMPOC,CA,6426,8607678269,34.63537161,-120.4521883,2,7,9,1,237417579,201406,1074609,1064819
23831825,STEWART WEBSTER HOSPITAL,CONNECTICUT SCIENCE CENTER INC,,CRITICAL ACCESS,,250 COLUMBUS BLVD,RICHLAND,GA,6103,8607243623,32.08616827,-84.66069977,1,3,9,1,61538101,201312,11974494,10792709
21891761,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,CONNECTICUT STATE MUSEUM OF NATURAL HISTORY,,GENERAL ACUTE CARE,UNIVERSITY OF CONNECTICUT,2019 HILLSIDE RD,ONTARIO,CA,6269,8604864460,34.03207956,-117.6085993,2,13,9,1,60772160,,,
25692354,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,CONNECTICUT ELECTRIC RAILWAY ASSOCIATION INCORPORATED,,GENERAL ACUTE CARE,,58 NORTH RD,LOMA LINDA,CA,6088,8606276540,34.04730564,-117.2516368,4,3,9,1,66070002,201412,408932,396558
44792404,ST. BERNARDINE MEDICAL CENTER,CONNECTICUT WOMENS HALL OF FAME INC,,GENERAL ACUTE CARE,,320 FITCH ST,SAN BERNARDINO,CA,6515,3203482478,34.13467236,-117.27702,1,9,9,1,61492895,201406,442572,442572
20092120,KAISER FND HOSP - SAN DIEGO,COPERNICAN OBSERVATORY AND PLANETARIUM,,GENERAL ACUTE CARE,CENTRAL CONNECTICUT STATE UNIVERSITY,1615 STANLEY STREET,SAN DIEGO,CA,6053,8608323200,32.79156258,-117.0951595,2,3,9,1,61303381,,,
40992037,SCRIPPS GREEN HOSPITAL,CRRA TRASH MUSEUM,,GENERAL ACUTE CARE,,211 MURPHY ROAD,LA JOLLA,CA,6114,8607577765,32.8968589,-117.2428711,1,3,9,1,,,,
41092024,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,CONNECTICUT COLLEGE,,GENERAL ACUTE CARE,CONNECTICUT COLLEGE,270 MOHEGAN AVENUE PARKWAY,ENCINITAS,CA,6320,8604471911,33.03734478,-117.2841834,1,11,9,1,60646587,201406,179406000,151000000
42292123,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,DAHESH MUSEUM OF ART,,WOMEN,,45 E PUTNAM AVE STE 105,SAN DIEGO,CA,6830,2127590606,32.79829578,-117.1549778,2,1,9,1,133458208,201305,6059958,
51092103,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,DANBURY RAILWAY MUSEUM INC,,GENERAL ACUTE CARE,,PO BOX 90,SAN DIEGO,CA,6813,2037788337,32.75477023,-117.1657314,1,1,9,1,61407189,201312,188890,154682
4894118,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,WESLEYAN UNIVERSITY,,GENERAL ACUTE CARE,WESLEYAN UNIVERSITY,301 HIGH STREET,SAN FRANCISCO,CA,6459,8606852500,37.7865092,-122.4560306,1,7,9,1,60646959,201306,500291015,283031000
5094115,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,DD LIVING HISTORY FARM,,GENERAL ACUTE CARE,,102 PAINTERS HILL ROAD,SAN FRANCISCO,CA,6783,8603540649,37.79070454,-122.4312945,4,5,9,1,,,,
46594117,ST. MARY'S MEDICAL CENTER,SAN FRANCISCO,DEEP RIVER ANCIENT MUSTER,GENERAL ACUTE CARE,GENERAL ACUTE CARE,,PO BOX 135,SAN FRANCISCO,CA,6417,4138009755,37.77408876,-122.4537516,2,7,9,1,66150529,201410,0
20595403,KAISER FND HOSP - SANTA ROSA,DENISON HOMESTEAD MUSEUM,,GENERAL ACUTE CARE,,120 PEQUOTSEPOS ROAD,SANTA ROSA,CA,6355,8605369248,38.47179301,-122.7270644,2,11,9,1,,,,
19594590,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,DISCOVERY CENTER INC,,GENERAL ACUTE CARE,,790 FARMINGTON AVE STE 4A,VALLEJO,CA,6032,8602849489,38.12690208,-122.2483773,4,3,9,1,20567674,201406,806257,794042
53195695,WOODLAND MEMORIAL HOSPITAL,DISCOVERY MUSEUM INC,,GENERAL ACUTE CARE,,4450 PARK AVE,WOODLAND,CA,6604,2033723521,38.66392502,-121.7921452,1,1,9,1,60740527,201406,2081210,1857682
1294609,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,DISCOVERY MUSEUM AND PLANETARIUM,,GENERAL ACUTE CARE,,4450 PARK AVENUE,OAKLAND,CA,6604,,37.82013961,-122.2640042,2,1,9,1,,,,
39794578,SAN LEANDRO HOSPITAL,THE DNA EPICENTER INC,,GENERAL ACUTE CARE,,300 HARTFORD RD,SAN LEANDRO,CA,6420,8604420391,37.71228835,-122.1434937,1,11,9,1,61404460,201006,198100,187835
46694545,ST. ROSE HOSPITAL,DONNELLY HUSKEY HERITAGE SPORTS MUSEUM,,GENERAL ACUTE CARE,UNIVERSITY OF CONNECTICUT,2384 ALUMNI DRIVE,HAYWARD,CA,6269,8604869097,37.63344199,-122.0879125,2,13,9,1,60772160,,,
45995204,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,DOROTHY WHITFIELD HISTORIC SOCIETY INC,,PSYCHIATRIC,,PO BOX 229,STOCKTON,CA,6437,2034539477,37.9765963,-121.2910709,2,9,9,1,66046400,201309,52226,27862
46095204,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,EASTERN CONNECTICUT STATE UNIVERSITY PLANETARIUM,,GENERAL ACUTE CARE,EASTERN CONNECTICUT STATE UNIVERSITY,83 WINDHAM STREET,STOCKTON,CA,6226,8604654317,37.97046719,-121.2881828,3,15,9,1,61277820,,,
13291741,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,EDGERTON MEMORIAL PLANETARIUM,,GENERAL ACUTE CARE,,39 SCOFIELDTOWN ROAD,GLENDORA,CA,6903,,34.13265458,-117.8712597,1,1,9,1,,,,
14791204,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,ELI WHITNEY MUSEUM INC,,GENERAL ACUTE CARE,,915 WHITNEY AVE,GLENDALE,CA,6517,2037771833,34.12816563,-118.2566432,2,9,9,1,60952478,201408,1683366,1683366
19090027,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,EVERWONDER CHILDREN'S MUSEUM,,GENERAL ACUTE CARE,,31 PECK'S LANE,LOS ANGELES,CA,6404,2033644009,34.09857365,-118.2941753,4,1,9,1,,,,
19391402,KAISER PERMANENTE PANORAMA CITY,WESLEYAN UNIVERSITY,,GENERAL ACUTE CARE,WESLEYAN UNIVERSITY,237 HIGH ST,PANORAMA CITY,CA,6459,8606852695,34.21856419,-118.4302193,1,7,9,1,60646959,201306,500291015,283031000
36691356,PROVIDENCE TARZANA MEDICAL CENTER,FAMILY CENTER MUSEUM,,GENERAL ACUTE CARE,,110 CHURCH ST,TARZANA,CA,6010,8605827021,34.17039322,-118.5319041,2,3,9,1,,,,
42990020,SHRINERS HOSPITAL FOR CHILDREN - L.A.,FLORENCE GRISWOLD MUSEUM,,GENERAL ACUTE CARE,,96 LYME ST,LOS ANGELES,CA,6371,,34.06720478,-118.2863921,4,11,90,1,,,,
50190716,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,FRIENDS MUSEUM OF THE UNIVERSITY OF CONNECTICUT HEALTH CENTER,,GENERAL ACUTE CARE,UNIVERSITY OF CONNECTICUT HEALTH CENTER,263 FARMINTON AVENUE,HAWAIIAN GARDENS,CA,6030,8606792000,33.83364001,-118.079678,2,3,9,1,,,,
45295422,ADVENTIST HEALTH CLEARLAKE,GALLERY AT THE VISUAL & PERFORMING ARTS CENTER,,GENERAL ACUTE CARE,WESTERN CONNECTICUT STATE UNIVERSITY,181 WHITE STREET,CLEARLAKE,CA,6810,,38.93561886,-122.6201445,1,1,9,1,66000798,,,
6193638,VALLEY CHILDREN'S HOSPITAL,SACRED HEART UNIVERSITY,,CHILDREN,SACRED HEART UNIVERSITY,5151 PARK AVENUE,MADERA,CA,6825,2033717999,36.88404783,-119.8002424,2,1,9,1,60776644,201306,209842972,209448756
11792270,EISENHOWER MEDICAL CENTER,GLACIER SOCIETY INC,,GENERAL ACUTE CARE,,905 HONEYSPOT RD,RANCHO MIRAGE,CA,6615,2033756638,33.76335207,-116.4062411,1,1,9,1,61526777,201312,82615,62765
15295124,GOOD SAMARITAN HOSPITAL-SAN JOSE,GOLDEN AGE OF TRUCKING MUSEUM INC,,GENERAL ACUTE CARE,,PO BOX 1435,SAN JOSE,CA,6762,2035772181,37.25207874,-121.9465769,2,9,9,1,61522532,,,
20495051,KAISER FND HOSP - SANTA CLARA,GOV TRUMBULL HOUSE MUSEUM,,GENERAL ACUTE CARE,,169 W TOWN ST,SANTA CLARA,CA,6249,8606427558,37.33540138,-121.998873,4,11,9,1,,,,
27094304,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,GOVERNOR SAMUEL HUNTINGTON TRUST INC,,GENERAL ACUTE CARE,,PO BOX 231,PALO ALTO,CA,6264,8604568381,37.43600458,-122.17539,4,,9,1,61407133,201406,132968,132968
19494063,KAISER FND HOSP - REDWOOD CITY,GREATER HARTFORD TWILIGHT,,GENERAL ACUTE CARE,,14 PAWNEE RD,REDWOOD CITY,CA,6118,8605684845,37.48884784,-122.2233901,1,3,9,1,222719757,,,
18094520,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GREATER MIDDLETOWN MILITARY MUSEUM,,GENERAL ACUTE CARE,,17 LORELEI CIRCLE,CONCORD,CA,6457,,37.98308958,-122.0334968,1,7,9,1,200228615,201312,0,0
47794509,SUTTER DELTA MEDICAL CENTER,GREENWICH SCIENCE CENTER INC,,GENERAL ACUTE CARE,,209 BRUCE PARK AVE,ANTIOCH,CA,6830,,37.98223445,-121.8029785,2,,9,1,261354960,,,
19995825,KAISER FND HOSP - SACRAMENTO,H M S ROSE FOUNDATION,H M S ROSE FOUNDATION,GENERAL ACUTE CARE,,1 BOSTWICK AVE,SACRAMENTO,CA,6605,2033350932,38.60179775,-121.393144,1,1,9,1,222621683,,,
43195945,SIERRA NEVADA MEMORIAL HOSPITAL,STOWE DAY FOUNDATION,,GENERAL ACUTE CARE,,77 FOREST ST,GRASS VALLEY,CA,6105,2035229258,39.22801629,-121.0474998,1,3,9,1,66042822,201212,997544,
24690623,LA PALMA INTERCOMMUNITY HOSPITAL,HARVEST RESEARCH IN CULTURE INC,,GENERAL ACUTE CARE,,175 BROOKRIDGE AVENUE,LA PALMA,CA,6825,,33.84751418,-118.0383023,2,1,9,1,272749225,201312,0,0
38492673,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,YALE UNIVERSITY,,GENERAL ACUTE CARE,YALE UNIVERSITY,333 CEDAR STREET,SAN CLEMENTE,CA,6520,,33.45706524,-117.6501839,1,9,9,1,60646973,201306,7943643646,3688471185
13795991,FREMONT MEDICAL CENTER,HENRY B. DUPONT III PLANETARIUM,,GENERAL ACUTE CARE,,4450 PARK AVENUE,YUBA CITY,CA,6604,,39.14310632,-121.618012,1,1,9,1,,,,
10230143,PIEDMONT MOUNTAINSIDE HOSPITAL,HENRY L FERGUSON MUSEUM,,GENERAL ACUTE CARE,,187 WILLIAMS ST,JASPER,GA,6320,6317887239,34.45824868,-84.41291289,1,103,36,2,116015380,201412,766050,637259
15530606,ST MARYS HEALTH CARE SYSTEM,HENRY WHITFIELD STATE MUSEUM,,GENERAL ACUTE CARE,,248 OLD WHITFIELD ST,ATHENS,GA,6437,2034532457,33.94722132,-83.40525246,2,9,9,1,,,,
14130080,RIDGEVIEW INSTITUTE,HICKS-STEARNS FAMILY MUSEUM,,PSYCHIATRIC,,42 TOLLAND GRN,SMYRNA,GA,6084,8608757552,33.85644329,-84.51105483,2,13,9,1,,,,
502891,WESTERLY HOSPITAL,HILL MUSEUM CORP,,GENERAL ACUTE CARE,,210 WEST ST,WESTERLY,RI,6519,,41.36218908,-71.82530324,1,9,9,1,900661673,,,
1553715,ST MARYS HOSPITAL MADISON,HILL-STEAD MUSEUM,,GENERAL ACUTE CARE,,35 MOUNTAIN RD,MADISON,WI,6032,8606772063,43.05933846,-89.40142922,4,3,9,1,60646673,201312,5905705,2088892
8253213,AURORA PSYCHIATRIC HSPTL,HOLLEY-WILLIAMS HOUSE MUSEUM,,PSYCHIATRIC,,15 MILLERTON RD,WAUWATOSA,WI,6068,8604352878,43.0467651,-88.00771643,4,5,9,1,,,,
9753097,COLUMBIA CENTER,HOLLISTER HOUSE GARDEN INC,,GENERAL ACUTE CARE,,PO BOX 1454,MEQUON,WI,6793,8608682200,43.25667793,-87.92615796,4,5,9,1,201247689,201312,1377363,1053617
4354923,THEDACARE MEDICAL CENTER BERLIN,HORSE CAVALRY MUSEUM INC,,GENERAL ACUTE CARE,,PO BOX 978,BERLIN,WI,6001,,43.97847715,-88.94122636,2,3,9,1,61316178,,,
63072758,MERCY HOSPITAL ROGERS,HOUSATONIC MUSEUM OF ART,,GENERAL ACUTE CARE,HOUSATONIC COMMUNITY COLLEGE,900 LAFAYETTE BOULEVARD,ROGERS,AR,6604,2033325052,36.30899285,-94.18297802,1,1,9,1,134310869,,,
10454024,ST CROIX REG MED CTR,HUNTINGTON HOUSE MUSEUM INC,,GENERAL ACUTE CARE,,PO BOX 27,SAINT CROIX FALLS,WI,6095,8606882004,45.40903243,-92.64257812,2,3,9,1,61604610,,,
11854017,WESTFIELDS HOSPITAL,IGOR I SIKORSKY HISTORICAL ARCHIVES,,GENERAL ACUTE CARE,,6900 MAIN ST M/S S5578A,NEW RICHMOND,WI,6614,2033864356,45.11776075,-92.55550038,1,1,9,1,61451625,201412,35818,26045
